x,y,z
3.95016,7.57151,-5.20273
0.6017,7.56751,6.50928
-4.84432,7.56351,-4.39611
6.54621,7.55951,-0.0303583
-4.80958,7.55551,4.44771
0.542831,7.55151,-6.533
4.01584,7.54751,5.1873
-6.46959,7.54351,-1.11347
5.52626,7.53951,-3.55193
-1.67716,7.53551,6.35636
-3.05946,7.53151,-5.82376
6.19401,7.5275,2.22955
-6.07737,7.5235,2.54213
2.76637,7.5195,-5.98367
2.00385,7.5155,6.28505
-5.72681,7.5115,-3.28344
6.44505,7.5075,-1.44869
-3.77673,7.5035,5.42529
-0.88089,7.4995,-6.55603
5.0813,7.4955,4.2424
-6.61699,7.4915,0.304766
4.67677,7.4875,-4.69736
-0.275273,7.4835,6.62733
-4.27631,7.4795,-5.07644
6.58683,7.4755,0.85478
-5.43823,7.47149,3.82131
1.4293,7.46749,-6.49566
3.33573,7.46349,5.75927
-6.35439,7.45949,-1.99441
6.03696,7.45549,-2.82325
-2.54572,7.45149,6.16397
-2.28771,7.44749,-6.26907
5.92573,7.44349,3.07899
-6.45369,7.43949,1.73319
3.59004,7.43549,-5.64138
1.16388,7.43149,6.58926
-5.31296,7.42749,-4.07491
6.67463,7.42348,-0.584124
-4.52979,7.41948,4.9429
0.00165146,7.41548,-6.70899
4.53393,7.41148,4.9511
-6.69196,7.40748,-0.58896
5.33553,7.40348,-4.08908
-1.17329,7.39948,6.62352
-3.61168,7.39548,-5.68002
6.50408,7.39148,1.75015
-5.98182,7.38748,3.10532
2.31509,7.38348,-6.3344
2.5738,7.37948,6.2385
-6.11567,7.37547,-2.86373
6.44797,7.37147,-2.02115
-3.39181,7.36747,5.84944
-1.45156,7.36347,-6.6085
5.53763,7.35947,3.89522
-6.71872,7.35547,0.869367
4.37004,7.35147,-5.18253
0.279004,7.34747,6.77767
-4.78674,7.34347,-4.81254
6.78476,7.33947,0.315011
-5.21924,7.33547,4.35321
0.908122,7.33147,-6.7398
3.88517,7.32747,5.58692
-6.64301,7.32346,-1.49577
5.91266,7.31946,-3.38613
-2.07343,7.31546,6.49499
-2.85984,7.31146,-6.19385
6.29676,7.30746,2.63663
-6.42822,7.30346,2.31028
3.18102,7.29946,-6.04971
1.74162,7.29546,6.61385
-5.75562,7.29146,-3.70236
6.74919,7.28746,-1.15817
-4.19659,7.28346,5.41663
-0.564378,7.27946,-6.83308
5.03523,7.27545,4.65985
-6.86474,7.27145,-0.0352152
5.08849,7.26745,-4.61426
-0.636021,7.26345,6.84381
-4.15683,7.25945,-5.47915
6.77031,7.25545,1.23343
-5.82873,7.25145,3.66639
1.82283,7.24745,-6.64468
3.14661,7.24345,6.13444
-6.46775,7.23945,-2.3997
6.39382,7.23545,-2.60141
-2.95955,7.23145,6.24077
-2.03493,7.22745,-6.60478
5.96535,7.22344,3.49806
-6.76557,7.21944,1.45147
4.01103,7.21544,-5.6435
0.855451,7.21144,6.87483
-5.27756,7.20744,-4.49446
6.93161,7.20344,-0.251438
-4.94457,7.19944,4.87025
0.355953,7.19544,-6.93534
4.4246,7.19144,5.35781
-6.88587,7.18744,-0.962065
5.73094,7.18344,-3.94393
-1.56224,7.17944,6.78344
-3.43186,7.17544,-6.06098
6.62873,7.17143,2.15185
-6.3453,7.16743,2.89225
2.72635,7.16343,-6.42279
2.32917,7.15943,6.5816
-6.16709,7.15543,-3.28128
6.76797,7.15143,-1.7469
-3.81235,7.14743,5.86347
-1.14986,7.14343,-6.90284
5.51415,7.13943,4.3154
